,Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
175,Norway,419051198868.33704,431328418599.649,432986039757.123,425960697230.40295,428524701366.599,432676161725.29,444569428989.775,449009368104.96,458953860527.448,466288258065.584
176,Nepal,13310843466.2677,13764950914.3225,14605251495.758999,15267319043.3731,16002656434.4746,16550239851.6396,17341538638.0319,18057549555.5864,19029151145.391003,19669092589.6048
177,Nauru,,,,,,,,,,
178,New Zealand,143210844285.92,147313302204.92902,145384529110.823,144602895878.36902,146584522265.456,150530417783.542,154649838881.683,157091890834.414,162076158596.34,167575447470.817
179,OECD members,43390037287824.5,44517688531248.2,44610854029668.9,43032008571480.0,44291114644304.6,45066051693130.1,45616210133173.7,46134496334734.7,46945338366763.8,47868450531712.3
180,Oman,46657217165.1496,48734720416.1248,52730819245.7737,55953966189.8569,58641352405.7217,58001560468.1404,62108452535.7607,64538621586.4759,66406501950.5852,68730729518.8557
181,Other small states,238295839799.322,262280581844.974,281095310891.44604,286756343194.843,312830875909.53,336548229342.87604,348925759972.62103,359934618853.443,371335772237.979,380312655743.639
182,Pakistan,159256450281.251,166953023525.452,169793571392.451,174601545521.839,177406854514.885,182282709027.43,188675424552.08,196915350994.647,206245899264.385,217668004571.42398
183,Panama,21485835473.6385,24776589614.3176,26910261835.8537,27340384376.3363,28917200000.0,32331762130.0547,35315968352.9645,37655354233.1361,39934758615.4099,42241946752.9464
184,Peru,114425986577.53099,124173297816.526,135526646457.645,136948635918.184,148521818488.749,158104767028.24402,167512548247.184,177318828424.765,181546415984.512,187459200952.31302
185,Philippines,165098600285.16,176022627371.775,183332419607.649,185437681530.075,199590774784.58102,206895308421.487,220723798225.41,236296463062.332,250786972777.417,265346983938.67102
186,Palau,207409363.745498,207299039.615846,195715006.002401,177952821.128451,183800000.0,193067226.890756,199245378.15126002,194391116.446579,202665426.170468,221641176.470588
187,Papua New Guinea,7442067920.59232,7974306938.828041,8501485047.22317,9023602245.7777,9716103408.96554,10752746441.3137,11622379448.9223,12265958483.6511,13312723335.6805,
188,Poland,404191324246.346,433299903823.83295,450286903459.029,462148277120.024,479242529764.866,503245448214.11,511104666202.37103,517568633303.488,534558020760.78796,554067887109.079
189,Pre-demographic dividend,784112081091.27,840735958267.6759,897775744040.7041,942156647111.297,1001502333116.13,1046819352832.67,1102483739725.02,1163560284848.65,1215332818498.48,1253284000173.32
190,Puerto Rico,108982992694.78,105358543360.196,103463345089.92801,101020458064.233,98381268000.0,96521406497.4362,93845351393.9169,93303542111.6084,,
191,"Korea, Dem. People’s Rep.",,,,,,,,,,
192,Portugal,234727116953.642,240576522516.55603,241055924768.212,233877027947.02,238317631788.07898,233963919205.298,224539251920.53,222001608476.821,224012486225.16602,227270666754.96698
193,Paraguay,16448482863.7657,17340257505.5353,18442944771.8053,17711553669.7976,20030528042.9171,20900335112.0465,20641386542.412,23538668873.1864,24650243376.482002,25393385728.1926
194,Pacific island small states,6189289959.649489,6273188657.79689,6390597851.22814,6286422854.18118,6469972333.71451,6538484334.81155,6659805072.53417,6836458069.11631,7116203218.46795,7356703014.93703
195,Post-demographic dividend,41404061311261.7,42457043875764.9,42528385864293.6,40999762512398.1,42162464764779.2,42819164448405.5,43298068843907.7,43765380448803.5,44491041979284.4,45287691318528.2
196,French Polynesia,,,,,,,,,,
197,Qatar,67314817516.5064,79421829549.7029,93450549194.1847,104624021247.41699,125122306346.154,141857635553.776,148779678879.926,155596278134.853,162106073254.836,167913966575.413
198,Romania,157224128902.68698,168015611656.501,182228025398.3,169350284147.325,167998080493.40802,169772634910.766,170860819248.496,176894945407.192,182129349994.602,188934947507.48602
199,Russian Federation,1385792607182.58,1504071117741.3,1583004071092.11,1459199142720.26,1524917468442.01,1589942641764.29,1645875899596.27,1666934123163.16,1678708855070.86,1616148858033.77
200,Rwanda,4177231366.8911295,4495237886.405789,4997017017.70029,5310229469.081571,5698548987.88591,6145995347.00202,6686127023.36361,6999339474.74489,7489932447.061491,8007052596.38282
201,South Asia,1588120638658.04,1716563795953.54,1783226531901.76,1919371437402.81,2093718885212.0,2226077381383.37,2351842474525.48,2499225073633.94,2670482829680.94,2862660453430.12
202,Saudi Arabia,429701866666.66705,455450933333.33295,493832533333.33295,502865600000.0,526811466666.66705,579276266666.667,610467200000.0,626766133333.334,649572533333.334,672214400000.0
203,Sudan,51106401194.5342,56994834761.4621,61441550872.0498,63433392297.3437,65634109236.7736,64342607849.351,62917610059.7192,64993891101.6889,67008701896.0555,69313544095.4987
204,Senegal,11139348462.2287,11689463524.3961,12119930871.2423,12413618117.2848,12932428287.6047,13160183616.2284,13740703041.3116,14219596407.1345,14832610463.4065,15794534138.9893
205,Singapore,185842757609.094,202775870920.425,206400733406.67398,205155335533.553,236421782178.21802,251097543087.642,260313164649.798,272484048404.841,281367070040.337,287017968463.513
206,Solomon Islands,573756743.190212,615755744.042318,659440505.394746,628262999.367287,671585231.579861,758410960.574936,793757551.710719,817684474.941094,830010465.696136,857018886.6152719
207,Sierra Leone,2083567039.51163,2251467571.5559,2373039542.3628397,2483374322.3104897,2616610911.08235,2780636557.91627,3199014366.94802,3854410523.70372,4031360394.24972,3212944006.67315
208,El Salvador,20742429449.0965,21538890031.9524,21813344449.0965,21129922271.926003,21418300000.0,21893108501.5425,22304908121.4191,22716943729.6166,23040719705.8175,23606383710.8859
209,San Marino,,,,,,,,,,
210,Somalia,,,,,,,,,,
211,Serbia,36293152225.2341,38430368884.6748,40492805121.3899,39231060776.6224,39460357730.5224,40013381123.366,39607137113.7376,40625727367.812996,39881747972.7617,40171319329.1041
212,Sub-Saharan Africa,1106479570520.97,1184766206009.7,1247853340377.06,1283379982161.14,1354415555621.32,1412660849641.87,1464126751207.68,1533550438710.48,1604592833506.33,1652378568480.88
213,South Sudan,,,14192832075.0773,14908383840.9088,15727363443.0995,14997563965.1164,8086368185.54746,9148086587.35648,9456710871.199871,8856230729.30292
214,Sub-Saharan Africa,1107336626220.81,1185712923072.88,1248778910317.3,1284295285596.56,1355385369041.19,1413707191091.38,1465242340257.55,1534733556329.38,1605815155547.69,1653643700287.95
215,Small states,303497282809.78,329469198301.602,349233096436.201,352575012999.83295,378924271154.19104,403391853152.308,416605818789.779,428586464345.361,441030451882.685,451030382774.849
216,Sao Tome and Principe,160774423.93868998,166005388.496016,179594874.824499,186807083.313057,195176113.354139,204600360.061225,213989767.348994,222947538.253308,232932364.447896,
217,Suriname,3683884388.3194103,3872185689.6913204,4032626084.2276,4154157281.28651,4368398047.64333,4598490709.26871,4739716685.29764,4874217614.84901,4964045021.3708105,5038472542.21224
218,Slovak Republic,76749434437.0861,85064802649.0066,89873279470.1987,84938013245.0331,89254437086.0927,91790993377.4834,93189271523.1788,94520000000.0,96903708609.2715,100387417218.54301
219,Slovenia,46564635761.5894,49796953642.3841,51440397350.9934,47429403973.5099,48016423841.0596,48328211920.5298,47014569536.4238,46517218543.0464,47935231788.0795,49315364238.4106
220,Sweden,472609920221.991,488702046479.36206,485979743322.927,460783350676.37897,488379327089.83704,501391744710.37103,499956156781.13104,506161637183.49,517636212278.87604,538826361429.067
221,Swaziland,3233867672.3231,3347171143.5183,3426616862.22066,3469461572.46804,3527776867.1802397,3574596526.66026,3682817057.3388705,3791428651.35001,3884332771.2449,3948711209.0724797
222,Sint Maarten,,,,,,,,,,
223,Seychelles,856684174.3355019,945962968.234513,925654158.746992,915423405.095384,969936525.298729,1046438130.96225,1115610241.47237,1183102676.00985,1222346014.64363,1265101403.03841
224,Syrian Arab Republic,,,,,,,,,,
225,Turks and Caicos Islands,,,,,,,,,,
226,Chad,8462426024.33746,8739274256.08724,9006057341.2583,9385905421.141779,10657705072.2884,10666537090.9999,11614000362.3244,12275998541.2593,13123040604.7701,13359255272.8226
227,East Asia & Pacific& IBRD countries),5438922962437.97,6098466733169.7,6611224495542.73,7110325149188.8,7805155855037.57,8464018455153.76,9092820349213.49,9741747314856.31,10396639323702.6,11068289284086.1
228,Europe & Central Asia& IBRD countries),3212486461708.98,3454926873198.04,3602802319024.73,3420793994071.78,3592525864590.34,3779516605318.67,3877779217838.72,3970060921238.59,4039624889351.76,4037516960187.5
229,Togo,2818834121.81118,2883398217.58234,2947567674.9376802,3051036045.0310397,3172945644.5585,3327904819.97373,3488321264.1898303,3626730618.31805,3842067435.8639,4052430962.5759296
230,Thailand,297868050989.676,314057455297.115,319477044016.926,317118409570.784,340923571200.889,343765791175.471,368623355242.115,378583990657.959,381679418683.633,392441568833.617
231,Tajikistan,4387963070.00791,4730224257.26005,5103911870.99051,5297860572.73719,5642221528.67072,6059745886.97114,6514226778.13271,6996279596.837971,7464977903.896391,7778506975.860041
232,Turkmenistan,15301298963.195,16993515438.4036,19491562207.8489,20680547524.915,22583157894.7368,25902882088.9745,28778101990.8921,31713468423.1438,34979955661.3867,37253652747.7258
233,Latin America & the Caribbean& IBRD countries),4493341316944.76,4756701791945.69,4948055944243.6,4886633823759.99,5178356887723.4,5423951246799.73,5589852438934.78,5751558838346.75,5808023291182.45,5753131522473.86
234,Middle East & North Africa& IBRD countries),1128451373136.23,1200513312657.46,1246732583149.05,1284550506567.6,1354032873833.12,1344511572240.81,1381806624192.69,1394727701556.19,1416757885616.74,
235,Timor-Leste,594000000.0,662000000.0,756000000.0,854000000.0,934000000.0,1023000000.0,1088000000.0,1118000000.0,1179490000.0,1229630119.9
236,Tonga,359164570.836352,342746751.947984,351165464.377809,355026788.35761803,369816107.03042996,377283155.687716,379346733.269183,369197152.386492,377112574.911783,
237,South Asia& IBRD),1588120638658.04,1716563795953.54,1783226531901.76,1919371437402.81,2093718885212.0,2226077381383.37,2351842474525.48,2499225073633.94,2670482829680.94,2862660453430.12
238,Sub-Saharan Africa& IBRD countries),1107336626220.81,1185712923072.87,1248778910317.3,1284295285596.56,1355385369041.19,1413707191091.38,1465242340257.55,1534733556329.38,1605815155547.69,1653643700287.95
239,Trinidad and Tobago,20335160406.3737,21301932566.5145,22024157839.7115,21057166821.9862,21037612736.256,21039082255.426003,21326491762.7778,21697521651.2887,21874677599.1698,22094796727.1996
240,Tunisia,37129671719.9944,39620931745.1446,41299978412.7428,42556922174.0953,44050929160.2627,43000790834.1484,44591820106.1897,45617431954.7296,46666632876.9037,47039965977.3648
241,Turkey,668003383265.643,699189648233.048,703796182604.0409,669831853657.749,731168051636.9441,795311569806.302,812231510969.4491,846284392987.2571,871843182074.5441,906584905343.2991
242,Tuvalu,29809991.9476302,31703094.825509496,34234035.600248404,32716491.6760401,31823518.6204366,34513663.7342317,34573875.631695196,35022709.402957395,35718922.224137604,
243,Tanzania,24472803075.3726,26544274428.1676,28021886853.3599,29530121806.7351,31407908612.0943,33890549126.6532,35632866873.3754,38220903384.9305,40883040124.8116,43731717880.881004
244,Uganda,15181735924.6795,16458888219.6217,17892251960.4005,19189627258.1227,20181796802.8574,22134027408.4432,23110416877.5875,23866297743.8529,25015525160.89,26277053336.8578
245,Ukraine,139210317102.882,150207933221.569,153662715664.167,130920633730.864,136419300367.96199,143513103999.742,143800130204.453,143800130204.453,134309317355.14099,121012717783.735
246,Upper middle income,12099260852724.3,13194240702427.0,13985520427456.4,14230070736744.2,15300290299104.3,16235757946334.9,17061558204473.4,17863276755524.1,18569716090277.8,19121413205743.7
247,Uruguay,31393627859.3399,33447245428.7481,35847468145.846,37368653375.8239,40284682481.3918,42364231378.5018,43863153599.0444,45897324291.4658,47383842804.743,47849274693.9179
248,United States,14792303791800.0,15055395304800.0,15011490541400.0,14594842181900.0,14964372000000.0,15204019634600.0,15542161722300.0,15773666098800.0,16156618476000.0,16548573278300.0
249,Uzbekistan,27989254700.1232,30766111719.3792,33535061774.1231,36251401777.8272,39332770928.9426,42597390916.0448,46090376971.1605,49777607128.8532,53809593306.2903,58114360770.7935
250,St. Vincent and the Grenadines,685734433.682685,674645906.852818,720062856.111691,704948295.6583849,681225962.962963,678339989.490253,687704433.671779,699189156.0415,703780126.957816,713998341.700523
251,"Venezuela, RB",360699936058.748,392274089221.545,412977743416.86,399752946164.58,393801459277.33203,410248283287.645,433328675196.43896,439148686789.604,422046539728.296,397989886963.78296
252,British Virgin Islands,,,,,,,,,,
253,Virgin Islands.S.),,,,,,,,,,
254,Vietnam,91307613440.4708,97817393834.909,103355590875.494,108934619775.67401,115931749904.839,123166242080.97,129629227015.26599,136657572026.57,144834689171.92,154508616328.239
255,Vanuatu,596169290.9481009,627025086.554647,667458933.182145,689570618.189538,700804286.224354,709376703.207254,721824490.38557,736038269.045342,752999145.565157,
256,West Bank and Gaza,8016674874.6105,7878226610.54084,7201473089.0575,8709518288.95718,8913100000.0,9611505397.28879,11008637191.3135,10537465239.0822,10422460476.8191,11714141323.7581
257,World,60235361859769.1,62828650423716.9,63986917733533.1,62912714345841.2,65647819210535.0,67702441302501.0,69378856864703.1,71042320608545.2,72910724814186.9,74709014465855.2
258,Samoa,639388125.795134,679814346.46665,686674262.333586,653657094.674312,656789149.595525,694742001.544426,697535584.278565,684046231.307783,692228432.085514,703544816.540352
259,"Yemen, Rep.",26725653162.6877,27617869836.7121,28726558529.0235,29914355173.5792,30906753495.1501,26243421035.8246,26891601653.7471,28009137429.7462,,
260,South Africa,340285160027.947,358526057738.423,369966781589.995,364276362720.086,375349442837.24,387407362601.25,396007124238.28204,404768205399.94,411036853168.56104,416311671520.861
261,"Congo, Dem. Rep.",16508944144.7183,17542316525.5473,18634483660.3004,19166509369.447,20523285374.187,21932132984.3665,23502004276.8069,25500497989.9719,27787759925.4418,29709613590.1836
262,Zambia,14405693544.0162,15608919909.9456,16822341081.0698,18373419545.1419,20265552104.3964,21403581063.2962,23024380970.4175,24205950559.4005,25422273004.6687,26241270767.7555
263,Zimbabwe,10062755569.0217,9695130198.50778,7982102821.16384,8459783044.33081,9422161300.0,10543908035.0329,11657893456.879,12180644491.5009,12649391052.8218,12785173627.385
